Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR2954256,2017-09-05 16:20:12,2015-11-23 15:52:45,61920339,12384067800,61920339,200,5181,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954256/SRR2954256.1,SRX1446796,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174553,SAMN04287674,simple,9606,Homo sapiens,GSM1949045,,,,,,,no,,,,,GEO,SRA313112,,public,27052D1C6BB7B6235C48124F76DA0634,0DE2D83484E8EB648C628E93FF366906
SRR2954257,2017-09-05 16:20:12,2015-11-23 15:59:16,73357156,14671431200,73357156,200,6100,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954257/SRR2954257.1,SRX1446797,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174552,SAMN04287675,simple,9606,Homo sapiens,GSM1949046,,,,,,,no,,,,,GEO,SRA313112,,public,9E63DC5FC190FF9CF215A330A4623586,7DB6E408D846FCD8E5B8D48DCA9FD907
SRR2954258,2017-09-05 16:20:12,2015-11-23 16:06:34,77576873,15515374600,77576873,200,6833,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954258/SRR2954258.1,SRX1446798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174551,SAMN04287676,simple,9606,Homo sapiens,GSM1949047,,,,,,,no,,,,,GEO,SRA313112,,public,5AC0486F2B0132B3F98360A52FE5EFE4,AC23B52BB139291B40DE95A0FCFB664F
SRR2954259,2017-09-05 16:20:12,2015-11-23 15:53:53,68936925,13787385000,68936925,200,6086,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954259/SRR2954259.1,SRX1446799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174550,SAMN04287677,simple,9606,Homo sapiens,GSM1949048,,,,,,,no,,,,,GEO,SRA313112,,public,4AAC6FEBF535E2DA6E4F007891159220,0F625558492B29E12A55F61ACE426944
SRR2954260,2017-09-05 16:20:12,2015-11-23 15:43:22,48685872,9737174400,48685872,200,4203,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954260/SRR2954260.1,SRX1446800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174549,SAMN04287678,simple,9606,Homo sapiens,GSM1949049,,,,,,,no,,,,,GEO,SRA313112,,public,06F20B24C59AE1A96644FD6A5889DFFE,98F169FE227525DD553A328A88EA1003
SRR2954261,2017-09-05 16:20:12,2015-11-23 15:54:22,53499847,10699969400,53499847,200,4638,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954261/SRR2954261.1,SRX1446801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174548,SAMN04287679,simple,9606,Homo sapiens,GSM1949050,,,,,,,no,,,,,GEO,SRA313112,,public,49B06EEC73BBE57B885BFB0BA8D15B0D,AE2EB3A3F94AB9CCF03F7C325D506087
SRR2954262,2017-09-05 16:20:12,2015-11-23 16:40:13,94316686,18863337200,94316686,200,7900,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954262/SRR2954262.1,SRX1446802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174547,SAMN04287680,simple,9606,Homo sapiens,GSM1949051,,,,,,,no,,,,,GEO,SRA313112,,public,D1910194101F392E5A2937F20FE8A207,C698DA3676818BC22F2F267B89A94AE9
SRR2954263,2017-09-05 16:20:12,2015-11-23 19:16:56,94930623,18986124600,94930623,200,7935,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954263/SRR2954263.1,SRX1446803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174546,SAMN04287681,simple,9606,Homo sapiens,GSM1949052,,,,,,,no,,,,,GEO,SRA313112,,public,EEB13C2EF4DCC41829178383EB09CF1E,B3863CF1E968DE3175671128841D0C45
SRR2954264,2017-09-05 16:20:12,2015-11-23 16:13:18,65366473,13073294600,65366473,200,5440,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954264/SRR2954264.1,SRX1446804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174544,SAMN04287682,simple,9606,Homo sapiens,GSM1949053,,,,,,,no,,,,,GEO,SRA313112,,public,DF2C70CA9BDA8E4186502876FF6BE823,9115973290BB926DE1D4FA24B44D391C
SRR2954265,2017-09-05 16:20:12,2015-11-23 16:31:55,72620035,14524007000,72620035,200,6041,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954265/SRR2954265.1,SRX1446805,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174545,SAMN04287683,simple,9606,Homo sapiens,GSM1949054,,,,,,,no,,,,,GEO,SRA313112,,public,873DB8808B33204374E8E990ABEADC2F,79A1D72E9513374C2D9E0244B1FF57A3
